captured_at_utc,rank,player,points,previous_rank,previous_points,rank_change,points_change
2026-08-07T11:44:12+00:00,1,airMJ23,0.00,,,,
2026-08-07T11:44:12+00:00,2,GlucksRitter,0.00,,,,
2026-08-07T11:44:12+00:00,3,Evgeny Nazarev,0.00,,,,
2026-08-07T11:44:12+00:00,4,El Wisty,0.00,,,,
2026-08-07T11:44:12+00:00,5,AABBCF,0.00,,,,
2026-08-07T11:44:12+00:00,6,Nmrckk11,0.00,,,,
2026-08-07T11:44:12+00:00,7,Franz Ferdinand,0.00,,,,
2026-08-07T11:44:12+00:00,8,EVHunter07,0.00,,,,
2026-08-07T11:44:12+00:00,9,Maximilian9,0.00,,,,
2026-08-07T11:44:12+00:00,10,NoChipsNoCry,0.00,,,,
2026-08-07T11:44:12+00:00,11,Hikitsuyo,0.00,,,,
2026-08-07T11:44:12+00:00,12,HyperMonk,0.00,,,,
2026-08-07T11:44:12+00:00,13,janthebeast,0.00,,,,
2026-08-07T11:44:12+00:00,14,Joorje,0.00,,,,
2026-08-07T11:44:12+00:00,15,MexicanJ0ker,0.00,,,,
2026-08-07T11:44:12+00:00,16,T-Skux,0.00,,,,
2026-08-07T11:44:12+00:00,17,brix,0.00,,,,
2026-08-07T11:44:12+00:00,18,Ditto1031,0.00,,,,
2026-08-07T11:44:12+00:00,19,IWINFLOP,0.00,,,,
2026-08-07T11:44:12+00:00,20,JokerJP,0.00,,,,
2026-08-07T11:44:12+00:00,21,Jose Da Silva,0.00,,,,
2026-08-07T11:44:12+00:00,22,onRetro77,0.00,,,,
2026-08-07T11:44:12+00:00,23,xStanley0675x,0.00,,,,
2026-08-07T11:44:12+00:00,24,jerry_tea,0.00,,,,
2026-08-07T11:44:12+00:00,25,GagoMS,0.00,,,,
2026-08-07T12:17:33+00:00,1,IQ200_Tilted,0.00,,,,
2026-08-07T12:17:33+00:00,2,b0g102,0.00,,,,
2026-08-07T12:17:33+00:00,3,Gagajos,0.00,,,,
2026-08-07T12:17:33+00:00,4,JoeTheNomad,0.00,,,,
2026-08-07T12:17:33+00:00,5,ElCangrejoRojo,0.00,,,,
2026-08-07T12:17:33+00:00,6,Tibor Szenasi,0.00,,,,
2026-08-07T12:17:33+00:00,7,wenklotz,0.00,,,,
2026-08-07T12:17:33+00:00,8,Elite5600,0.00,,,,
2026-08-07T12:17:33+00:00,9,Panzer Soldat,0.00,,,,
2026-08-07T12:17:33+00:00,10,El PlatoVolador,0.00,,,,
2026-08-07T12:17:33+00:00,11,Harrisonn Fold,0.00,,,,
2026-08-07T12:17:33+00:00,12,JaYTaIZ,0.00,,,,
2026-08-07T12:17:33+00:00,13,Klimenzon,0.00,,,,
2026-08-07T12:17:33+00:00,14,GeurosPRO,0.00,,,,
2026-08-07T12:17:33+00:00,15,nier2b9s,0.00,,,,
2026-08-07T12:17:33+00:00,16,Shimi33,0.00,,,,
2026-08-07T12:17:33+00:00,17,MaiAndres,0.00,,,,
2026-08-07T12:17:33+00:00,18,Big St0ne,0.00,,,,
2026-08-07T12:17:33+00:00,19,nofold2010,0.00,,,,
2026-08-07T12:17:33+00:00,20,NoMercyPot,0.00,,,,
2026-08-07T12:17:33+00:00,21,Man1nBlack,0.00,,,,
2026-08-07T12:17:33+00:00,22,SpinatiC,0.00,,,,
2026-08-07T12:17:33+00:00,23,Clincha21093,0.00,,,,
2026-08-07T12:17:33+00:00,24,kid7895555,0.00,,,,
2026-08-07T12:17:33+00:00,25,FishHoldem,0.00,,,,
2026-08-07T12:17:33+00:00,26,Mr_Smooth,0.00,,,,
2026-08-07T12:17:33+00:00,27,Lawrence_a72727,0.00,,,,
2026-08-07T12:17:33+00:00,28,Wilsonk,0.00,,,,
2026-08-07T12:17:33+00:00,29,guai shou,0.00,,,,
2026-08-07T12:17:33+00:00,30,CEOofPokerr,0.00,,,,
2026-08-07T12:24:53+00:00,1,IQ200_Tilted,156200.00,1,0.00,0,156200.00
2026-08-07T12:24:53+00:00,2,b0g102,147400.00,2,0.00,0,147400.00
2026-08-07T12:24:53+00:00,3,Gagajos,131600.00,3,0.00,0,131600.00
2026-08-07T12:24:53+00:00,4,JoeTheNomad,110200.00,4,0.00,0,110200.00
2026-08-07T12:24:53+00:00,5,ElCangrejoRojo,97400.00,5,0.00,0,97400.00
2026-08-07T12:24:53+00:00,6,Tibor Szenasi,94600.00,6,0.00,0,94600.00
2026-08-07T12:24:53+00:00,7,wenklotz,66800.00,7,0.00,0,66800.00
2026-08-07T12:24:53+00:00,8,Elite5600,62800.00,8,0.00,0,62800.00
2026-08-07T12:24:53+00:00,9,Panzer Soldat,51800.00,9,0.00,0,51800.00
2026-08-07T12:24:53+00:00,10,El PlatoVolador,25800.00,10,0.00,0,25800.00
2026-08-07T12:24:53+00:00,11,Harrisonn Fold,25600.00,11,0.00,0,25600.00
2026-08-07T12:24:53+00:00,12,JaYTaIZ,22400.00,12,0.00,0,22400.00
2026-08-07T12:24:53+00:00,13,Klimenzon,20400.00,13,0.00,0,20400.00
2026-08-07T12:24:53+00:00,14,GeurosPRO,13800.00,14,0.00,0,13800.00
2026-08-07T12:24:53+00:00,15,nier2b9s,12800.00,15,0.00,0,12800.00
2026-08-07T12:24:53+00:00,16,Shimi33,11000.00,16,0.00,0,11000.00
2026-08-07T12:24:53+00:00,17,MaiAndres,10600.00,17,0.00,0,10600.00
2026-08-07T12:24:53+00:00,18,Big St0ne,10200.00,18,0.00,0,10200.00
2026-08-07T12:24:53+00:00,19,SpinatiC,10200.00,22,0.00,3,10200.00
2026-08-07T12:24:53+00:00,20,nofold2010,9400.00,19,0.00,-1,9400.00
2026-08-07T12:24:53+00:00,21,NoMercyPot,8800.00,20,0.00,-1,8800.00
2026-08-07T12:24:53+00:00,22,Man1nBlack,7400.00,21,0.00,-1,7400.00
2026-08-07T12:24:53+00:00,23,Wilsonk,7200.00,28,0.00,5,7200.00
2026-08-07T12:24:53+00:00,24,Clincha21093,7000.00,23,0.00,-1,7000.00
2026-08-07T12:24:53+00:00,25,kid7895555,6800.00,24,0.00,-1,6800.00
2026-08-07T12:24:53+00:00,26,FishHoldem,6800.00,25,0.00,-1,6800.00
2026-08-07T12:24:53+00:00,27,Mr_Smooth,6600.00,26,0.00,-1,6600.00
2026-08-07T12:24:53+00:00,28,Lawrence_a72727,6200.00,27,0.00,-1,6200.00
2026-08-07T12:24:53+00:00,29,Br0kat,6000.00,,,,
2026-08-07T12:24:53+00:00,30,guai shou,5800.00,29,0.00,-1,5800.00
2026-08-07T12:53:01+00:00,1,IQ200_Tilted,168000.00,1,156200.00,0,11800.00
2026-08-07T12:53:01+00:00,2,b0g102,149200.00,2,147400.00,0,1800.00
2026-08-07T12:53:01+00:00,3,Gagajos,131600.00,3,131600.00,0,0.00
2026-08-07T12:53:01+00:00,4,Tibor Szenasi,114000.00,6,94600.00,2,19400.00
2026-08-07T12:53:01+00:00,5,JoeTheNomad,110200.00,4,110200.00,-1,0.00
2026-08-07T12:53:01+00:00,6,ElCangrejoRojo,97400.00,5,97400.00,-1,0.00
2026-08-07T12:53:01+00:00,7,wenklotz,82800.00,7,66800.00,0,16000.00
2026-08-07T12:53:01+00:00,8,Panzer Soldat,72200.00,9,51800.00,1,20400.00
2026-08-07T12:53:01+00:00,9,Elite5600,68800.00,8,62800.00,-1,6000.00
2026-08-07T12:53:01+00:00,10,Harrisonn Fold,30200.00,11,25600.00,1,4600.00
2026-08-07T12:53:01+00:00,11,El PlatoVolador,25800.00,10,25800.00,-1,0.00
2026-08-07T12:53:01+00:00,12,JaYTaIZ,23400.00,12,22400.00,0,1000.00
2026-08-07T12:53:01+00:00,13,Klimenzon,21600.00,13,20400.00,0,1200.00
2026-08-07T12:53:01+00:00,14,SpinatiC,16800.00,19,10200.00,5,6600.00
2026-08-07T12:53:01+00:00,15,GeurosPRO,13800.00,14,13800.00,-1,0.00
2026-08-07T12:53:01+00:00,16,nier2b9s,12800.00,15,12800.00,-1,0.00
2026-08-07T12:53:01+00:00,17,Shimi33,11000.00,16,11000.00,-1,0.00
2026-08-07T12:53:01+00:00,18,MaiAndres,10600.00,17,10600.00,-1,0.00
2026-08-07T12:53:01+00:00,19,Big St0ne,10200.00,18,10200.00,-1,0.00
2026-08-07T12:53:01+00:00,20,Br0kat,10000.00,29,6000.00,9,4000.00
2026-08-07T12:53:01+00:00,21,Man1nBlack,10000.00,22,7400.00,1,2600.00
2026-08-07T12:53:01+00:00,22,nofold2010,9400.00,20,9400.00,-2,0.00
2026-08-07T12:53:01+00:00,23,NoMercyPot,8800.00,21,8800.00,-2,0.00
2026-08-07T12:53:01+00:00,24,Wilsonk,7800.00,23,7200.00,-1,600.00
2026-08-07T12:53:01+00:00,25,Clincha21093,7000.00,24,7000.00,-1,0.00
2026-08-07T12:53:01+00:00,26,kid7895555,6800.00,25,6800.00,-1,0.00
2026-08-07T12:53:01+00:00,27,FishHoldem,6800.00,26,6800.00,-1,0.00
2026-08-07T12:53:01+00:00,28,CEOofPokerr,6800.00,,,,
2026-08-07T12:53:01+00:00,29,Mr_Smooth,6600.00,27,6600.00,-2,0.00
2026-08-07T12:53:01+00:00,30,Lawrence_a72727,6200.00,28,6200.00,-2,0.00
2026-08-07T13:02:38+00:00,1,IQ200_Tilted,168000.00,1,168000.00,0,0.00
2026-08-07T13:02:38+00:00,2,b0g102,149200.00,2,149200.00,0,0.00
2026-08-07T13:02:38+00:00,3,Gagajos,131600.00,3,131600.00,0,0.00
2026-08-07T13:02:38+00:00,4,Tibor Szenasi,121200.00,4,114000.00,0,7200.00
2026-08-07T13:02:38+00:00,5,JoeTheNomad,110200.00,5,110200.00,0,0.00
2026-08-07T13:02:38+00:00,6,ElCangrejoRojo,97400.00,6,97400.00,0,0.00
2026-08-07T13:02:38+00:00,7,wenklotz,91600.00,7,82800.00,0,8800.00
2026-08-07T13:02:38+00:00,8,Panzer Soldat,79800.00,8,72200.00,0,7600.00
2026-08-07T13:02:38+00:00,9,Elite5600,68800.00,9,68800.00,0,0.00
2026-08-07T13:02:38+00:00,10,Harrisonn Fold,31600.00,10,30200.00,0,1400.00
2026-08-07T13:02:38+00:00,11,El PlatoVolador,25800.00,11,25800.00,0,0.00
2026-08-07T13:02:38+00:00,12,JaYTaIZ,24400.00,12,23400.00,0,1000.00
2026-08-07T13:02:38+00:00,13,Klimenzon,23400.00,13,21600.00,0,1800.00
2026-08-07T13:02:38+00:00,14,SpinatiC,20400.00,14,16800.00,0,3600.00
2026-08-07T13:02:38+00:00,15,nier2b9s,14800.00,16,12800.00,1,2000.00
2026-08-07T13:02:38+00:00,16,GeurosPRO,13800.00,15,13800.00,-1,0.00
2026-08-07T13:02:38+00:00,17,Shimi33,11000.00,17,11000.00,0,0.00
2026-08-07T13:02:38+00:00,18,MaiAndres,10600.00,18,10600.00,0,0.00
2026-08-07T13:02:38+00:00,19,Br0kat,10600.00,20,10000.00,1,600.00
2026-08-07T13:02:38+00:00,20,Big St0ne,10200.00,19,10200.00,-1,0.00
2026-08-07T13:02:38+00:00,21,Man1nBlack,10200.00,21,10000.00,0,200.00
2026-08-07T13:02:38+00:00,22,poznavacha,10200.00,,,,
2026-08-07T13:02:38+00:00,23,nofold2010,9400.00,22,9400.00,-1,0.00
2026-08-07T13:02:38+00:00,24,NoMercyPot,8800.00,23,8800.00,-1,0.00
2026-08-07T13:02:38+00:00,25,Wilsonk,8200.00,24,7800.00,-1,400.00
2026-08-07T13:02:38+00:00,26,CEOofPokerr,7200.00,28,6800.00,2,400.00
2026-08-07T13:02:38+00:00,27,Clincha21093,7000.00,25,7000.00,-2,0.00
2026-08-07T13:02:38+00:00,28,kid7895555,6800.00,26,6800.00,-2,0.00
2026-08-07T13:02:38+00:00,29,FishHoldem,6800.00,27,6800.00,-2,0.00
2026-08-07T13:02:38+00:00,30,Mr_Smooth,6600.00,29,6600.00,-1,0.00
2026-08-07T13:02:38+00:00,31,AngelOnMySide,6600.00,,,,
2026-08-07T13:02:38+00:00,32,Lawrence_a72727,6200.00,30,6200.00,-2,0.00
2026-08-07T13:02:38+00:00,33,mortein 76,6000.00,,,,
2026-08-07T13:02:38+00:00,34,guai shou,5800.00,,,,
2026-08-07T13:02:38+00:00,35,ACI92,5800.00,,,,
2026-08-07T13:02:38+00:00,36,rasek26,5400.00,,,,
2026-08-07T13:02:38+00:00,37,Tawawaa,5200.00,,,,
2026-08-07T13:02:38+00:00,38,tt @fishing,5200.00,,,,
2026-08-07T13:02:38+00:00,39,Michu1920,4400.00,,,,
2026-08-07T13:02:38+00:00,40,Gugumon,4400.00,,,,
2026-08-07T13:04:59+00:00,1,IQ200_Tilted,168000.00,1,168000.00,0,0.00
2026-08-07T13:04:59+00:00,2,b0g102,149200.00,2,149200.00,0,0.00
2026-08-07T13:04:59+00:00,3,Gagajos,131600.00,3,131600.00,0,0.00
2026-08-07T13:04:59+00:00,4,Tibor Szenasi,121200.00,4,121200.00,0,0.00
2026-08-07T13:04:59+00:00,5,JoeTheNomad,110200.00,5,110200.00,0,0.00
2026-08-07T13:04:59+00:00,6,ElCangrejoRojo,97400.00,6,97400.00,0,0.00
2026-08-07T13:04:59+00:00,7,wenklotz,93000.00,7,91600.00,0,1400.00
2026-08-07T13:04:59+00:00,8,Panzer Soldat,82600.00,8,79800.00,0,2800.00
